,Título,Autor,Co Autor,Co-Autor..,Nota,Total de Avaliações,Nº de Páginas,Data,Editora,Tipo
66,Programador Autodidata: Guia Definitivo Para Programar Profissionalmente,Cory Althoff,,," 4,8 ",117 avaliações de clientes,264 páginas,25 outubro 2022,Novatec Editora,  Capa comum – 25 outubro 2022 
67,O livro da matemática,Vários,Maria da Anunciação Rodrigues,," 4,8 ",1.739 avaliações de clientes,352 páginas,19 outubro 2020,Globo Livros,  Capa dura – 19 outubro 2020 
68,Python para Ciência de Dados: Introdução à Análise de Dados,Igor Machado de Castro,,,,,380 páginas,8 março 2024,vazio,  eBook Kindle 
69,Inteligência artificial – aplicações e desafios,Sérgio Branco,Eduardo Magrani,," 4,5 ",218 avaliações de clientes,441 páginas,19 agosto 2022,Obliq,  eBook Kindle 
70,Programação Funcional Para Leigos,John Paul Mueller,,," 4,2 ",19 avaliações de clientes,320 páginas,20 dezembro 2019,Editora Alta Books,  Capa comum – 20 dezembro 2019 
71,Engenharia de Software para Ciência de Dados: Um guia de boas práticas com ênfase na construção de sistemas de Machine Learning em Python,Marcos Kalinowski,Tatiana Escovedo,," 5,0 ",22 avaliações de clientes,572 páginas,3 maio 2023,Casa do Código,  eBook Kindle 
72,Python + TensorFlow 2.X - Fernando Feltrin,Fernando Feltrin,,," 4,5 ",33 avaliações de clientes,167 páginas,2 janeiro 2021,vazio,  eBook Kindle 
73,Programação prática com python: Do básico aos conceitos avançados,Glody Bima Leminde Ali-Ngakong,,,,,112 páginas,13 abril 2024,vazio,  Capa comum – 13 abril 2024 
74,Interfaces Gráficas Modernas com Python e Flet,Fernando Feltrin,,," 5,0 ",1 classificação,204 páginas,2 abril 2024,vazio,  eBook Kindle 
75,Fundamentos em Python: Guia completo para Iniciantes (Fundamentos em programação e computação),Erick Faria,,," 4,4 ",110 avaliações de clientes,69 páginas,30 abril 2021,vazio,  eBook Kindle 
76,Python do ZERO à Programação Orientada a Objetos,Fernando Feltrin,,," 4,4 ",179 avaliações de clientes,242 páginas,24 fevereiro 2019,vazio,  eBook Kindle 
77,Criando Microsserviços – 2ª Edição: Projetando sistemas com componentes menores e mais especializados,Sam Newman,,," 4,8 ",299 avaliações de clientes,979 páginas,24 março 2022,Novatec Editora,  eBook Kindle 
78,Python em 60 minutos: Guia Rápido para Iniciantes,Liana A. Eich,,," 4,8 ",18 avaliações de clientes,43 páginas,6 janeiro 2023,vazio,  eBook Kindle 
79,PYTHON TOTAL - Fernando Feltrin,Fernando Feltrin,,," 4,5 ",40 avaliações de clientes,1850 páginas,16 fevereiro 2021,vazio,  eBook Kindle 
80,Tratamento de Dados com Python + Pandas,Fernando Feltrin,,," 4,5 ",201 avaliações de clientes,129 páginas,29 junho 2021,vazio,  eBook Kindle 
81,SQL Para Análise de Dados: Técnicas Avançadas Para Transformar Dados em Insights,Cathy Tanimura,,," 4,8 ",299 avaliações de clientes,400 páginas,22 julho 2022,Novatec Editora,  Capa comum – 22 julho 2022 
82,A arte da estatística: Como aprender a partir de dados,David Spiegelhalter,,," 4,7 ",239 avaliações de clientes,352 páginas,15 agosto 2022,Zahar,  Capa comum – 15 agosto 2022 
83,Python do Zero ao Avançado: Aprenda Python passo a passo e domine a linguagem de programação mais popular do mundo,Victor Fernandes,,,,,14 páginas,8 abril 2024,vazio,  eBook Kindle 
84,Séries temporais com Prophet: Análise e previsão de dados com Python,Allan Spadini,Valquíria Alencar,," 4,2 ",4 avaliações de clientes,174 páginas,25 agosto 2022,Casa do Código,  eBook Kindle 
85,PYTHON GAMES: INTRODUÇÃO À PROGRAMAÇÃO COM PYTHON E JOGOS,João Rotta,Maria Lúcia Antenor,," 3,0 ",1 classificação,vazio,20 fevereiro 2023,vazio,  [Print Replica] eBook Kindle 
86,CSS Grid Layout: Criando Layouts CSS Profissionais,Maurício Samy Silva,,," 4,7 ",330 avaliações de clientes,176 páginas,22 novembro 2017,Novatec Editora,  Capa comum – 22 novembro 2017 
87,O Codificador Limpo,Bob Martin,,," 4,9 ",1.698 avaliações de clientes,244 páginas,4 maio 2012,Alta Books,  Capa comum – 4 maio 2012 
88,Arquitetura Limpa: o Guia do Artesão Para Estrutura e Design de Software,Robert C. Martin,,," 4,9 ",4.143 avaliações de clientes,432 páginas,23 abril 2019,Editora Alta Books,"  Capa comum – Edição padrão, 23 abril 2019 "
89,Python Para Data Science Para Leigos,John Paul Mueller,Luca Massaron,," 4,7 ",34 avaliações de clientes,686 páginas,30 novembro 2020,Alta Books,  eBook Kindle 
90,Introdução à Programação para Engenharia - Usando a Linguagem Python,Roberto Fernandes Tavares Neto,Fábio Molina da Silva,," 4,1 ",16 avaliações de clientes,136 páginas,22 julho 2022,LTC,  Capa comum – 22 julho 2022 
91,Estruturas de Dados e Algoritmos com JavaScript: Escreva um Código JavaScript Complexo e Eficaz Usando a Mais Recente ECMAScript,Loiane Groner,,," 4,9 ",1.133 avaliações de clientes,408 páginas,11 março 2019,Novatec Editora,  Capa comum – 11 março 2019 
92,Aprenda programar Python + Django framework: Curso de criação de softwares completos,Cursa Online Courses,,," 3,7 ",13 avaliações de clientes,841 páginas,23 agosto 2023,vazio,  eBook Kindle 
93,Desenvolvimento web com Django 3 Cookbook: Soluções Práticas Para Problemas Comuns no Desenvolvimento web com Python,Jake Kronika,Aidas Bendoraitis,," 4,6 ",37 avaliações de clientes,568 páginas,2 outubro 2020,Novatec Editora,  Capa comum – 2 outubro 2020 
94,Python 3 Conceitos e Aplicações: Uma Abordagem Didática,Sérgio Luiz Banin,,," 4,5 ",48 avaliações de clientes,317 páginas,23 novembro 2018,Érica,  eBook Kindle 
95,Análise Prática de Séries Temporais: Predição com Estatística e Aprendizado de Máquina,Aileen Nielsen,,," 4,7 ",301 avaliações de clientes,480 páginas,27 outubro 2021,Editora Alta Books,  Capa comum – 27 outubro 2021 
96,Introdução a Programação com Python,Fabrício Bueno,Fabrício  Bueno,," 3,9 ",8 avaliações de clientes,115 páginas,26 setembro 2021,vazio,  eBook Kindle 
97,"Python: Guia prático de Programação: Uma abordagem simples, para verdadeiros iniciantes (produtividadeprogramada.com.br)",Tiago P. Ribeiro,,," 4,6 ",15 avaliações de clientes,394 páginas,9 fevereiro 2022,vazio,  eBook Kindle 
98,Python e Ciência de Dados para Iniciantes,Raphael Hendrigo Gonçalves,,,,,21 páginas,15 maio 2024,vazio,  eBook Kindle 
99,Aplicações Avançadas de Visão Computacional: Da Teoria à Prática,Francisco Iago Lira Passos,,,,,83 páginas,23 abril 2024,vazio,  eBook Kindle 
100,Aplicativos Multiplataforma em Python,Fernando Feltrin,,," 4,2 ",5 avaliações de clientes,133 páginas,31 janeiro 2023,vazio,  eBook Kindle 
101,Python: escreva seus primeiros programas,,,," 3,9 ",9 avaliações de clientes,vazio,vazio,vazio,  Capa comum 
102,Storytelling com Dados: um Guia Sobre Visualização de Dados Para Profissionais de Negócios,Cole Nussbaumer Knaflic,,," 4,8 ",5.869 avaliações de clientes,256 páginas,22 janeiro 2019,Editora Alta Books,"  Capa comum – Edição padrão, 22 janeiro 2019 "
103,Python:: Introdução à Inteligência Artificial,Emerson Fernandes,,,,,207 páginas,6 março 2024,vazio,  eBook Kindle 
104,Ciência de Dados - Fundamentos e Aplicações,André C. P. L. F. de Carvalho,,," 4,8 ",9 avaliações de clientes,376 páginas,5 março 2024,LTC,  Capa comum – 5 março 2024 
105,50 CÓDIGOS PRONTOS FEITOS EM PYTHON EDITION 2 (Série Python Masterclass: Códigos Prontos e Passo a Passo),DIETRICH  MONTCHO,,," 4,0 ",2 avaliações de clientes,120 páginas,12 julho 2023,vazio,  eBook Kindle 
106,Cientista da Computação Autodidata: Guia de Estruturas de Dados e Algoritmos Para o Iniciante,Cory Althoff,,," 4,8 ",81 avaliações de clientes,240 páginas,25 outubro 2022,Novatec Editora,  Capa comum – 25 outubro 2022 
107,Python Aplicado: Bolsa de Valores - Um guia para construção de análises e indicadores,Paulo Leonardo Vieira Rodrigues,,," 4,5 ",93 avaliações de clientes,118 páginas,12 abril 2019,vazio,  eBook Kindle 
108,Mercado Financeiro com Python: Esteja a Frente dos Concorrentes!,Deivison V. Andrade,,,,,110 páginas,12 abril 2024,vazio,  eBook Kindle 
