,Título,Autor,Co Autor,Co-Autor..,Nota,Total de Avaliações,Nº de Páginas,Data,Editora,Tipo
106,Construindo Aplicações web com PHP e MySQL,André Milani,,," 4,4 ",92 avaliações de clientes,336 páginas,1 novembro 2016,Novatec Editora,  Capa comum – 1 novembro 2016 
107,Raspberry PI: guia do usuário,Eben Upton,Gareth Halfacree,," 4,6 ",73 avaliações de clientes,288 páginas,28 novembro 2017,Alta Books,  Capa comum – 28 novembro 2017 
108,MongoDB. Construa Novas Aplicações com Novas Tecnologias,Fernando Boaglio,,," 4,2 ",27 avaliações de clientes,215 páginas,1 janeiro 2015,Casa do Código,  Capa comum – 1 janeiro 2015 
109,Análise Estatística da Decisão,Otto R. Bekman,Pedro Luiz O. Costa Neto,," 4,4 ",13 avaliações de clientes,160 páginas,1 janeiro 2009,Blucher,  Capa comum – 1 janeiro 2009 
110,Simulação de Eventos Discretos com Python Simpy : Um guia prático,Jair José Ferronato,,," 2,0 ",2 avaliações de clientes,vazio,18 setembro 2023,vazio,  eBook Kindle 
111,Controladores Lógicos Programáveis: Sistemas Discretos,Claiton Moro Franchi,Valter Luís Arlindo de Camargo,," 4,9 ",34 avaliações de clientes,352 páginas,24 novembro 2020,Editora Érica,  Capa comum – 24 novembro 2020 
112,Domine Python em 2h,Marcelo Fabiano,,," 5,0 ",1 classificação,30 páginas,20 janeiro 2024,vazio,  eBook Kindle 
113,Python para todos 3: CSS + HTML,Anibal Azevedo,,," 4,8 ",7 avaliações de clientes,vazio,25 março 2022,vazio,  [Print Replica] eBook Kindle 
114,Programação funcional Para Leigos,John Paul Mueller,,," 4,2 ",19 avaliações de clientes,320 páginas,20 dezembro 2019,Alta Books,  Capa comum – 20 dezembro 2019 
115,Programação Definitiva De Redes Neurais Com Python,Jideon F Marques ,,,,,652 páginas,17 janeiro 2024,Clube de Autores,  eBook Kindle 
116,Análise de Dados Financeiros e Econômicos com o R,Marcelo S. Perlin,,," 4,6 ",209 avaliações de clientes,781 páginas,14 fevereiro 2021,vazio,  eBook Kindle 
117,Python do Básico ao Avançado - Fernando Feltrin,Fernando Feltrin,,," 4,7 ",8 avaliações de clientes,601 páginas,24 agosto 2020,vazio,  eBook Kindle 
118,PUDIM PROJECT: Python Volume 02 - Funções Essenciais (Python PUDIM PROJECT Livro 2),ANDRE LUIZ BERNARDES,Ana Cláudia Santos Bernardes,,,,54 páginas,14 abril 2024,vazio,  eBook Kindle 
119,Aprendendo Python: Um guia básico de programação,André Backes,,,,,217 páginas,16 janeiro 2024,vazio,  eBook Kindle 
120,"Introdução à Programação Científica: Trabalhando com MATLAB®, Scilab e Python",Vinícius Simionatto,Layse Boere,," 5,0 ",1 classificação,252 páginas,12 julho 2022,vazio,  [Print Replica] eBook Kindle 
121,COLETÂNEA PYTHON NA PRÁTICA: Fernando Feltrin,Fernando Feltrin,,," 4,0 ",2 avaliações de clientes,874 páginas,17 dezembro 2022,vazio,  eBook Kindle 
122,Aplicações Web com Python e Dash: Do Básico ao Avançado,Fernando Feltrin,,," 4,4 ",3 avaliações de clientes,258 páginas,17 fevereiro 2023,vazio,  eBook Kindle 
123,Python na Prática - Aprenda Python Através de Exemplos Comentados: Apenas códigos comentados,Fernando Feltrin,,," 4,6 ",43 avaliações de clientes,365 páginas,6 março 2021,vazio,  eBook Kindle 
124,Use a cabeça! Aprenda a programar: aprenda a programar,Eric Freeman,,," 4,8 ",120 avaliações de clientes,640 páginas,18 junho 2019,Alta Books,  Capa comum – 18 junho 2019 
125,PYTHON TOTAL - Volume 2: Fernando Feltrin,Fernando Feltrin,,," 4,6 ",7 avaliações de clientes,1350 páginas,16 agosto 2021,vazio,  eBook Kindle 
126,Python para Gestores: Um guia prático para programação no mundo dos negócios,Libânia Rangel de Alvarenga Paes,,," 4,5 ",2 avaliações de clientes,198 páginas,2 março 2022,vazio,  eBook Kindle 
127,Algoritmos e Programação I: Python para Matemática (Notas de Aula),Pedro H A Konzen,,,,,276 páginas,16 março 2024,vazio,  eBook Kindle 
128,Coletânea Python Best Sellers - Fernando Feltrin,Fernando Feltrin,,,,,1203 páginas,30 julho 2023,vazio,  eBook Kindle 
129,Padrões em Dados: Detecção usando Python,Francisco Iago Lira Passos,,,,,63 páginas,16 abril 2024,vazio,  eBook Kindle 
130,Python - 20% que eu preciso saber para ter 80% de resultados,Fabricio de Mello Viegas,,," 3,0 ",1 classificação,186 páginas,26 setembro 2023,vazio,  Capa comum – 26 setembro 2023 
131,COLETÂNEA Interfaces Gráficas com Python: Fernando Feltrin,Fernando Feltrin,,," 4,0 ",2 avaliações de clientes,697 páginas,18 fevereiro 2023,vazio,  eBook Kindle 
132,Arquitetura de software distribuído: Boas práticas para um mundo de microsserviços,Flávio Lisboa,,," 3,5 ",17 avaliações de clientes,150 páginas,22 outubro 2021,Casa do Código,  eBook Kindle 
133,Cálculo Diferencial e Integral de Funções de Uma Variável com Python,Barbosa,Rojas,Concordido," 3,3 ",5 avaliações de clientes,208 páginas,9 setembro 2020,Ciencia Moderna,  Capa comum – 9 setembro 2020 
134,"Desenvolvimento de Jogos 2D com Unity: O Guia do Iniciante (Jogos, python e IA)",Michael Lopes Bastos,,," 5,0 ",1 classificação,116 páginas,18 janeiro 2024,vazio,  eBook Kindle 
135,Monty Python. Uma Biografia Escrita por Monty Python,Monty Python,,," 4,5 ",15 avaliações de clientes,431 páginas,15 dezembro 2017,Realejo,"  Capa comum – Edição padrão, 15 dezembro 2017 "
136,Guia Oficial Raspberry Pi Para Iniciantes: Como Utilizar O Seu Novo Computador,Gareth Halfacree,,,,,304 páginas,25 junho 2024,Raspberry Pi Press,  Capa comum – 25 junho 2024 
137,Coletânea Python Bootcamp: (Exercícios em Python),Felipe de Agostini,,,,,380 páginas,24 agosto 2023,vazio,  eBook Kindle 
138,As Regras da Programação: Como criar códigos melhores,Chris Zimmerman,,," 3,7 ",5 avaliações de clientes,448 páginas,7 julho 2023,Novatec Editora,  eBook Kindle 
139,Introdução à Economia,N. Gregory Mankiw,,," 4,9 ",820 avaliações de clientes,720 páginas,24 janeiro 2019,Editora Cengage,  Capa comum – 24 janeiro 2019 
140,Fundamentos da Programação Lógica e Funcional: o Princípio de Resolução e a Teoria de Reescrita,Mauricio Ayala-Rincón,Flávio Leonardo Cavalcanti De Moura,," 4,4 ",12 avaliações de clientes,232 páginas,1 janeiro 2014,Editora UnB,  Capa comum – 1 janeiro 2014 
141,Mergulhando No Python,Pilgrim Mark,,,,,248 páginas,1 janeiro 2005,Starlin Alta Consult,  Capa comum – 1 janeiro 2005 
142,Manual Básico da Linguagem R: Introdução à análise de dados com a linguagem R e o RStudio para área da saúde,Henrique Alvarenga da Silva,,," 4,7 ",405 avaliações de clientes,vazio,24 janeiro 2019,vazio,  [Print Replica] eBook Kindle 
143,Métodos Computacionais Aplicados à Agricultura,Sergio Silva Ribeiro,,,,,122 páginas,3 outubro 2018,Clube de Autores,  Capa flexível – 3 outubro 2018 
144,Seja um Programador Foda!: Manual para uma carreira de sucesso,Deibson Carvalho,,," 4,6 ",316 avaliações de clientes,117 páginas,10 janeiro 2021,vazio,  eBook Kindle 
145,Python para Pessoas com TDAH: Curso Passo a Passo de Programação,Erto Toneto,,,,,82 páginas,1 outubro 2023,vazio,  eBook Kindle 
146,Lógica de Programação com Python: Aprenda a Programar do Zero!,Vanilson Carvalho,,," 5,0 ",1 classificação,32 páginas,27 fevereiro 2023,vazio,  eBook Kindle 
147,Guia Prático Python & Flask: Aprenda a criar aplicações web usando o mini framework mais usado na atualidade,Wallace Fragoso,,," 4,4 ",21 avaliações de clientes,76 páginas,20 novembro 2018,vazio,  eBook Kindle 
148,Programação com Arduino: Começando com Sketches,Simon Monk,,," 4,7 ",191 avaliações de clientes,180 páginas,14 julho 2017,Bookman,  eBook Kindle 
149,Coletânea Programação Orientada à Objetos em Python: Fernando Feltrin,Fernando Feltrin,,," 5,0 ",1 classificação,343 páginas,25 janeiro 2024,vazio,  eBook Kindle 
