,0
368,"Internet das Coisas com ESP8266, Arduino e Raspberry Pi 2ª edição: Atualizado para ESP32"
369,Ensine Seus Filhos a Programar: Um Guia Amigável aos Pais Para a Programação Python
370,Matemática para Computação: Fundamentos e Aplicações
371,Conceitos de Linguagens de Programação
372,Integração numérica: Série Cálculo Numérico para todos
373,Introdução à visão computacional usando Matlab
374,Programação Python: O guia definitivo para iniciantes e desenvolvedores experientes
375,Desenvolvimento Back-end com Python e JavaScript
376,Análise Preditiva e o Consumidor Litigante: a Inteligência Artificial Pode Prever o Litígio de Consumo? (Edição 1)
377,Python Resumido
378,Docker: Conceito e Prática
379,Começando a programar em C Para leigos
380,Pentest em Redes sem fio
381,Introdução ao Pentest
382,"Coletânea PYTHON AO EXTREMO: 6 livros, 1000+ páginas"
383,Introdução aos Métodos Estatísticos Para Economia e Finanças
384,Introdução à Programação e aos Algoritmos
385,Análise de Séries Temporais em R: Curso Introdutório
386,Práticas de Python. Algoritmia e Programação
387,Put some farofa
388,"PYTHON DESVENDADO: HISTÓRIA, EVOLUÇÃO E DOMÍNIO"
389,Estatística e Ciência de Dados
390,Não me faça pensar: atualizado
391,"Seu primeiro projeto de manutenção preditiva: ""Usando Machine learning para prever falhas em máquinas"""
392,O que é Linux
393,Introdução à Economia
394,Introdução à Programação com Python: Do Zero à Automação: Um guia passo-a-passo para iniciantes
395,Decodificando Analytics: Excel com Python e Além
396,Tecnologia da Informação para Concursos: Desenvolvimento de Software
397,Aprendendo Java. Por Meio de Conceitos e Exemplos
398,Scikit-Learn para Data Science: Uma maneira fácil e rápida para os iniciantes em IA
399,Gramática
400,Mundo Python : Guia Python Para Programadores Iniciantes c/ Projeto Bônus
401,INTRODUÇÃO À PROGRAMAÇÃO CIENTÍFICA COM PYTHON
402,NEGÓCIOS DIGITAIS: O PRÓXIMO NÍVEL DA INTELIGÊNCIA
403,Pyspark para Análise de dados e big data
404,Documentação do RPyC
405,Documentação do Cython
406,"Para Que Serve Tudo Isso?. A Filosofia E O Sentido Da Vida, De Platão A Monty Python"
